city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Airai,TL,1612267557,-8.9266,125.4092,62.31,100,98,1.7
Jūnāgadh,IN,1612267558,21.5167,70.4667,90.27,18,0,7.09
São Gabriel da Cachoeira,BR,1612267558,-0.1303,-67.0892,73.76,98,98,0.56
Los Reyes Acaquilpan,MX,1612267558,19.35,-98.9667,39.2,93,1,3.44
Hackettstown,US,1612267514,40.854,-74.8291,30.99,100,100,3.44
Keti Bandar,PK,1612267558,24.1447,67.4497,76.78,54,0,12.57
Puerto Ayacucho,VE,1612267558,5.6639,-67.6236,75.7,79,92,3.09
Inongo,CD,1612267559,-1.95,18.2667,81.1,67,70,4.38
Emerald,AU,1612267514,-23.5333,148.1667,84.2,48,40,5.75
Antofagasta,CL,1612267559,-23.65,-70.4,68.0,64,20,8.05
Poso,ID,1612267559,-1.3959,120.7524,80.01,82,86,4.83
Mâncio Lima,BR,1612267559,-7.6142,-72.8958,73.36,92,94,2.98
Pajapita,GT,1612267560,14.7167,-92.0333,68.0,83,0,2.95
Atikokan,CA,1612267560,48.7555,-91.6216,5.72,94,31,2.39
Iquique,CL,1612267560,-20.2208,-70.1431,68.0,68,0,4.61
Sakakah,SA,1612267560,29.9697,40.2064,75.2,17,0,10.36
Bethel,US,1612267556,41.3712,-73.414,30.99,95,100,4.0
Bandarbeyla,SO,1612267560,9.4942,50.8122,77.16,55,67,21.07
Dingle,PH,1612267560,10.9995,122.6711,75.42,90,97,8.43
La Asuncion,VE,1612267561,11.0333,-63.8628,76.41,80,100,11.34
Pangnirtung,CA,1612267561,66.1451,-65.7125,-28.71,76,11,2.08
Coari,BR,1612267561,-4.085,-63.1414,76.39,94,98,1.63
Coruripe,BR,1612267561,-10.1256,-36.1756,82.71,68,100,14.92
Sangar,RU,1612267561,63.9242,127.4739,-47.24,76,92,6.8
Båtsfjord,NO,1612267562,70.6345,29.7185,26.6,93,75,6.91
Vila Velha,BR,1612267343,-20.3297,-40.2925,82.99,74,20,6.91
Eureka,US,1612267562,40.8021,-124.1637,46.99,96,96,6.58
